,word,importance_norm,true_label,abstract_text,predicted_proba,doi,abstract_text_len,avg_predict_proba,global_avg_importance,importance_scaled,global_avg_importance_scaled,global_lime_importance_scaled,global_homogeneity_importance_scaled,is_inconsistent,importance_diff
0,allocation,0.3635455882007733,0.0,resource allocation influenza pandemic,0.0652521962118215,10.3201/eid1403.071275,4.0,0.0652521962118215,0.4838052415889975,0.341335159393065,0.4122190883115153,0.0447168785317804,0.0008436234724674,True,-0.12
1,pandemic,0.6150064220964402,0.0,resource allocation influenza pandemic,0.929109805738365,10.3201/eid1403.071275,4.0,0.929109805738365,0.5125415619627688,0.77852301318584,0.6397833411814813,0.6760909792447773,0.2541436326308987,True,0.102
2,influenza,0.5735088599372621,0.0,resource allocation influenza pandemic,0.7034594236611936,10.3201/eid1403.071275,4.0,0.7034594236611936,0.5097238087141479,0.6780083928494247,0.617469422612436,0.2627843645433468,0.1302101351218448,False,0.064
3,resource,0.4121058002377278,0.0,resource allocation influenza pandemic,0.4970903726152007,10.3201/eid1403.071275,4.0,0.4970903726152007,0.4938120960918649,0.3978010317551393,0.49146383290317,0.0756625117366452,0.2741209459461836,False,-0.082
4,please,0.6897406140255251,1.0,please see later article editor summary,0.9664687494766194,10.1371/journal.pmed.1001646,6.0,0.9664687494766194,0.5479683909908044,0.9595427776502292,0.920330042166738,0.0207572896754641,0.0250462873382918,True,0.142
5,see,0.3429093846317323,1.0,please see later article editor summary,0.0534181082935175,10.1371/journal.pmed.1001646,6.0,0.0534181082935175,0.4849248780993698,0.3173393573178908,0.4210855417284724,0.1335802723398467,0.1417900658767264,True,-0.142
6,article,0.5422096997266339,1.0,please see later article editor summary,0.7939083647293018,10.1371/journal.pmed.1001646,6.0,0.7939083647293018,0.5158581849548307,0.6021961513169636,0.6660478323697405,0.2401809852678047,0.1981360826287403,False,0.026
7,summary,0.4790954243236448,1.0,please see later article editor summary,0.3625341639894875,10.1371/journal.pmed.1001646,6.0,0.3625341639894875,0.4931706496097254,0.475696646385902,0.4863841884822588,0.0080319720440584,0.3193294231839367,False,-0.014
8,editor,0.4840742140200105,1.0,please see later article editor summary,0.3954106417678478,10.1371/journal.pmed.1001646,6.0,0.3954106417678478,0.4993144797176615,0.4814859889715285,0.5350374638524973,0.0243811632305519,0.0036730099224356,False,-0.015
9,later,0.4912149768821722,1.0,please see later article editor summary,0.4528580738473333,10.1371/journal.pmed.1001646,6.0,0.4528580738473333,0.4946994862061166,0.4897892765279301,0.4984911163454231,0.0080592953849726,0.0261309556955852,False,-0.003
